Subject Activity Mean
25 WALKING_DOWNSTAIRS -0.335078553679007
26 WALKING_DOWNSTAIRS -0.172518329775734
27 WALKING_DOWNSTAIRS -0.158161316639386
28 WALKING_DOWNSTAIRS -0.12543827491249
29 WALKING_DOWNSTAIRS -0.166116177694424
30 WALKING_DOWNSTAIRS -0.215537696652668
1 WALKING_UPSTAIRS -0.307103990105455
2 WALKING_UPSTAIRS -0.245280103879352
3 WALKING_UPSTAIRS -0.332762922095754
4 WALKING_UPSTAIRS -0.319770178845403
5 WALKING_UPSTAIRS -0.230117115133272
6 WALKING_UPSTAIRS -0.18605013871588
7 WALKING_UPSTAIRS -0.343348262765969
8 WALKING_UPSTAIRS -0.14179250066879
9 WALKING_UPSTAIRS -0.340098264025389
10 WALKING_UPSTAIRS -0.205733713321636
11 WALKING_UPSTAIRS -0.362325282497288
12 WALKING_UPSTAIRS -0.326609725707612
13 WALKING_UPSTAIRS -0.318594652444451
14 WALKING_UPSTAIRS -0.14535777328429
15 WALKING_UPSTAIRS -0.286174878885419
16 WALKING_UPSTAIRS -0.365971891945078
17 WALKING_UPSTAIRS -0.298654572097386
18 WALKING_UPSTAIRS -0.409864052034829
19 WALKING_UPSTAIRS -0.172522155198731
20 WALKING_UPSTAIRS -0.206644877774993
21 WALKING_UPSTAIRS -0.272735241321592
22 WALKING_UPSTAIRS -0.16862879193324
23 WALKING_UPSTAIRS -0.243025295195815
24 WALKING_UPSTAIRS -0.340369136263789
25 WALKING_UPSTAIRS -0.426504552177634
26 WALKING_UPSTAIRS -0.305115745183321
27 WALKING_UPSTAIRS -0.342018443149963
28 WALKING_UPSTAIRS -0.295372554581159
29 WALKING_UPSTAIRS -0.245353572484911
30 WALKING_UPSTAIRS -0.351435833812871
